"cbsacode","num_counties","cbsatitle","num_munis","num_local","pop_muni","pop_total","hhi_pop_muni","hhi_pop_total"
16340,1,"Cedartown, GA",3,3,16551,16551,0.477409728865435,0.477409728865435
16380,1,"Celina, OH",9,23,22138,64386,0.309537625421288,0.105470426874334
16460,1,"Centralia, IL",14,31,26328,63718,0.291789457306517,0.123633559356287
16500,1,"Centralia, WA",9,9,33635,33635,0.367110361500459,0.367110361500459
16540,1,"Chambersburg, PA",6,21,40735,155134,0.386375261287962,0.0833591099179119
16580,3,"Champaign-Urbana, IL",40,90,198898,435105,0.249417779683378,0.105614476967258
16620,3,"Charleston, WV",19,19,97914,97914,0.282661453863203,0.282661453863203
16660,1,"Charleston-Mattoon, IL",6,18,36097,82862,0.448538418508608,0.175215687933171
16700,3,"Charleston-North Charleston, SC",27,27,536832,536832,0.176794005604573,0.176794005604573
16740,11,"Charlotte-Concord-Gastonia, NC-SC",79,79,1875957,1875957,0.232629174135218,0.232629174135218
16820,3,"Charlottesville, VA",3,3,46550,46550,0.962818395382349,0.962818395382349
16860,6,"Chattanooga, TN-GA",26,26,306811,306811,0.365982486385582,0.365982486385582
16940,1,"Cheyenne, WY",4,4,66746,66746,0.950192618250796,0.950192618250796
16980,11,"Chicago-Naperville-Elgin, IL-IN",342,544,8641884,15125853,0.101000103325145,0.0353376269314278
17020,1,"Chico, CA",5,5,136789,136789,0.585445227490819,0.585445227490819
17060,1,"Chillicothe, OH",7,23,26056,102947,0.718868930917457,0.14611343454102
17140,14,"Cincinnati, OH-KY-IN",139,236,1210734,2254633,0.0785104827769001,0.0289874671976615
17220,3,"Clarksburg, WV",13,13,39725,39725,0.23506011570263,0.23506011570263
17260,1,"Clarksdale, MS",6,6,16918,16918,0.731780671344199,0.731780671344199
17300,4,"Clarksville, TN-KY",9,9,215849,215849,0.649056041271378,0.649056041271378
17340,1,"Clearlake, CA",2,2,21912,21912,0.641143588759765,0.641143588759765
17380,1,"Cleveland, MS",15,15,20573,20573,0.309384907223107,0.309384907223107
17410,6,"Cleveland, OH",114,199,1816027,2230330,0.0545291724097368,0.0369014367959857
