"cbsacode","num_counties","cbsatitle","num_munis","num_local","pop_muni","pop_total","hhi_pop_muni","hhi_pop_total","munis_pp","index_circ","index_rect","index_rect_central","index_circ_central"
"19340",4,"Davenport-Moline-Rock Island, IA-IL",55,112,328817,536215,0.145971957574713,0.0662931651324721,0.00016726629097644,0.595446017089308,0.454594394485032,0.513533596588671,0.403007325966955
"43780",2,"South Bend-Mishawaka, IN-MI",14,42,174536,492568,0.43814508778355,0.120526545478293,8.02126781867351e-05,0.645041697001204,0.536299121724968,0.444517152893824,0.358940628314442
"35380",3,"New Orleans-Metairie, LA",9,9,485994,485994,0.621793996935619,0.621793996935619,1.85187471450265e-05,NA,NA,0.722232242099523,0.501991933466504
"29620",3,"Lansing-East Lansing, MI",26,74,225350,483638,0.300460410684777,0.0851949482647374,0.00011537608165076,0.656790731536233,0.559603242499609,0.405589012732152,0.281902020771837
"49660",2,"Youngstown-Warren, OH",21,59,189975,479886,0.165636696456881,0.049668200322723,0.00011054086063955,0.563178213349935,0.409008424238384,0.597898927954708,0.439043104543088
"44140",1,"Springfield, MA",7,23,357978,462718,0.24873616865688,0.155276050106797,1.95542742850119e-05,0.49962483879917,0.315884058288758,0.75611574617577,0.62826468824471
"22220",3,"Fayetteville-Springdale-Rogers, AR",34,34,461551,461551,0.127342528661099,0.127342528661099,7.36646654432555e-05,0.635541890293448,0.468159715864234,0.527097088557714,0.377039264975642
"49620",1,"York-Hanover, PA",37,72,123326,458696,0.162708411411153,0.0361531387149244,0.00030001783889852,0.574920147756736,0.485062037009195,0.595075763447099,0.506390588997292
"47930",1,"Waterbury-Shelton, CT",6,19,278468,449929,0.25592402793637,0.112277933604762,2.15464613528305e-05,0.439083954284442,0.278711778372121,0.647356529132669,0.555818939813647
"15940",2,"Canton-Massillon, OH",23,54,179319,445932,0.216518602553033,0.0711525687787929,0.00012826303961097,0.685628229016898,0.597442060503895,0.324689535213532,0.247521125381415
"33700",1,"Modesto, CA",9,9,441626,441626,0.295274459700651,0.295274459700651,2.0379234918234e-05,0.676214190265817,0.562066538061527,0.28921088756912,0.199636668966705
