r,obs,mmean,lo,hi,cbsa,gamma
0,3.002258871366133e-5,1.1621937755435405e-5,9.909700936451403e-6,1.4075731548333991e-5,38300,1.594685716532734e-5
250,1.3834660661796436e-5,3.507569919733804e-6,2.954157755445795e-6,4.182811447917568e-6,38300,9.651849213878867e-6
500,2.012587440186627e-5,5.04406712674617e-6,4.095748166359828e-6,6.675165479204815e-6,38300,1.3450708922661455e-5
1000,1.954669922274569e-5,5.4791952022812075e-6,4.421655890970932e-6,6.645257854247559e-6,38300,1.290144136849813e-5
0,2.9902308932428134e-5,1.5938633518641957e-5,1.324427560291259e-5,1.8548823441759687e-5,17140,1.1353485490668447e-5
250,9.841137112544718e-6,3.281475466011995e-6,2.665080619216979e-6,3.881884226946263e-6,17140,5.959252885598455e-6
500,1.4048575290298438e-5,4.741750926176254e-6,3.7793633898191946e-6,5.784173079238409e-6,17140,8.264402211060028e-6
1000,1.4724810381426296e-5,7.183958379909085e-6,5.870677982500662e-6,8.751482992850636e-6,17140,5.9733273885756596e-6
0,3.4999013609883804e-5,1.7574490609394586e-5,1.5543834495740247e-5,1.984578008456168e-5,36740,1.5153233525322125e-5
250,6.220838628023758e-6,2.984885423769604e-6,2.579758102800469e-6,3.603133736356895e-6,36740,2.617704891666863e-6
500,7.133599280143253e-6,4.524395666765928e-6,3.970661574602856e-6,5.0439600690018256e-6,36740,2.0896392111414277e-6
1000,9.25302034803515e-6,6.728906502043337e-6,5.846120659378388e-6,7.692184439712106e-6,36740,1.5608359083230429e-6
0,2.859777453337033e-5,1.487284756201164e-5,1.1773326729297997e-5,1.80458754437976e-5,33340,1.0551899089572728e-5
250,1.3867869539300016e-5,4.601899745573397e-6,3.7077926900562246e-6,5.5243502749011175e-6,33340,8.3435192643989e-6
500,1.8245103107987672e-5,6.604187212950348e-6,5.288112825513905e-6,7.730436350607113e-6,33340,1.0514666757380559e-5
1000,1.56425180616565e-5,8.281513545421426e-6,6.578850797349131e-6,9.896369478450649e-6,33340,5.746148583205852e-6
0,2.403514609540212e-5,1.4022009209585972e-5,1.2463890131445331e-5,1.5425810349379218e-5,26900,8.609335746022901e-6
250,1.4236788922786505e-5,4.368217544274563e-6,3.4317133623818544e-6,5.76379866286259e-6,26900,8.472990259923916e-6
500,1.6191725726704905e-5,5.986255777236147e-6,5.0181615085232e-6,7.003300951365604e-6,26900,9.1884247753393e-6
1000,1.6595609317539888e-5,6.918701421135035e-6,5.900678713832585e-6,7.790030441841556e-6,26900,8.805578875698332e-6
