r,obs,mmean,lo,hi,cbsa,gamma
1000,5.3818321676464917e-5,1.883341962371273e-5,8.13114974775315e-6,3.3801296455962416e-5,42340,2.00170252205025e-5
0,2.9912612326536387e-5,4.330962952827661e-5,2.2060109806586918e-5,8.344108140690856e-5,32580,0
250,3.919184636770968e-5,3.331615188882865e-5,1.901309323292433e-5,6.0781213720478455e-5,32580,0
500,4.9039176334336444e-5,1.910457086943856e-5,1.0457704873571874e-5,2.899318184254905e-5,32580,2.0045994491787395e-5
1000,3.497742917388574e-5,1.5571775159556386e-5,7.748093158565219e-6,3.2023553347885235e-5,32580,2.9538758260005065e-6
0,5.98331623859902e-5,6.0003890900054746e-5,3.142161862434886e-5,1.0512706384592632e-4,13740,0
250,6.115785571017843e-5,4.5085752540063684e-5,2.331050049325308e-5,8.094904721128593e-5,13740,0
500,5.902091299036606e-5,3.156621646985939e-5,1.5573121233315458e-5,5.4198987726006113e-5,13740,4.821925264359949e-6
1000,3.991420788626819e-5,4.0930850985400565e-5,1.4596412370776017e-5,7.993378745889943e-5,13740,0
0,1.0228021679368197e-4,5.7643893459548164e-5,4.7273835094080414e-5,7.198002824329885e-5,30700,3.0300188550383116e-5
250,5.4724855337754264e-5,2.8418975016640083e-5,2.2888188651990858e-5,3.877375069704217e-5,30700,1.5951104640712094e-5
500,5.082277108340302e-5,2.774908370508052e-5,1.8842219798284083e-5,4.056844563758992e-5,30700,1.0254325445813101e-5
1000,3.855003687969937e-5,3.350450171340662e-5,2.4578940117021985e-5,4.391262655085348e-5,30700,0
0,7.600642561048756e-5,7.068521179408397e-5,2.7708254553980016e-5,1.3706434021918244e-4,39540,0
250,6.805569442966506e-5,5.505906226570063e-5,2.4774332595170796e-5,9.967484722669251e-5,39540,0
500,6.528175814088163e-5,3.8150158085075973e-5,1.9304009332283034e-5,7.589817479716716e-5,39540,0
1000,5.508494078614491e-5,4.4515440571523027e-5,2.047286321939937e-5,9.020206418556703e-5,39540,0
0,2.42924408757633e-5,9.275480407863691e-5,1.4422675025837629e-5,5.489594040309179e-4,22420,0
250,1.70349924263177e-5,3.747178580821209e-5,0,8.305231851843171e-5,22420,0
500,1.0451475598481947e-5,1.965012726028392e-5,0,3.9504940128385554e-5,22420,0
1000,1.8962955919930983e-5,8.990410901316021e-6,0,1.93157726277934e-5,22420,0
0,6.627448635256664e-5,9.106657742361638e-5,5.039219864692605e-5,1.5663910063765205e-4,17660,0
250,5.769889033976395e-5,6.096812601279147e-5,3.770185315405521e-5,9.634976909021496e-5,17660,0
500,8.127931219996261e-5,4.812851402533715e-5,2.636256732200969e-5,9.099509607546806e-5,17660,0
1000,8.796690382792566e-5,3.421606307423693e-5,2.0265300925904336e-5,5.403118219017308e-5,17660,3.393572163775258e-5
0,1.6574272470131372e-4,1.0870114184140674e-4,3.649623195677609e-5,2.7245331316815675e-4,36780,0
250,1.2945302060465727e-4,7.772283616614774e-5,3.266007596823129e-5,1.653963445445195e-4,36780,0
500,7.057260767373448e-5,5.3766223422442846e-5,2.2506919165287494e-5,1.2241721127840627e-4,36780,0
1000,4.033053301067364e-5,3.4461071181384606e-5,1.6522973071864425e-6,9.994351635541799e-5,36780,0
0,1.0012173776077653e-4,6.0949378617142116e-5,4.091151821409514e-5,8.777397773809885e-5,22020,1.2347760022677682e-5
250,9.368702201694965e-5,3.8148675329965555e-5,2.5743751190119257e-5,5.135617393248702e-5,22020,4.233084808446263e-5
500,1.0634016596408366e-4,3.505036760011303e-5,2.1034607710388277e-5,5.1461022638514755e-5,22020,5.487914332556891e-5
1000,4.915694700397521e-5,3.2563074824851535e-5,2.2759539795938457e-5,4.614062236558766e-5,22020,3.0163246383875557e-6
0,5.4451910012188255e-5,4.679646075626179e-5,9.493576313975657e-8,3.1693706253629173e-4,30980,0
250,5.8513341703804284e-5,2.7399749278461528e-5,9.189407668976137e-21,7.152576663973687e-5,30980,0
500,6.830400848115933e-5,1.9078815458834544e-5,8.11096311082638e-21,4.7798500797258255e-5,30980,2.050550768390107e-5
1000,6.377073011778902e-5,1.587840497087233e-5,0,4.43264613757754e-5,30980,1.9444268742013613e-5
0,7.688376383386479e-5,7.084386858076515e-5,3.783226517078604e-5,1.2324254668978017e-4,46700,0
250,4.9641647938412364e-5,3.9783015006526134e-5,2.8858324006565156e-5,6.0594064611356145e-5,46700,0
500,2.8506816352710384e-5,2.7790682364532835e-5,1.704159989630793e-5,4.074173949231178e-5,46700,0
1000,4.0087736876290066e-5,6.845613665380734e-5,4.238682279608493e-5,1.1644239613461837e-4,46700,0
0,5.667495671189537e-5,5.0097968181205304e-5,2.1608108825308998e-5,1.0566362537183247e-4,12700,0
250,4.329568716847687e-5,3.615690561026824e-5,1.7911724937592976e-5,5.941402189851365e-5,12700,0
500,2.2503674274390616e-5,2.1366177789307678e-5,1.2845248156341858e-5,3.775076256580468e-5,12700,0
1000,1.3231729170157535e-5,1.7706538290155776e-5,5.81747956508256e-6,3.386996703563702e-5,12700,0
0,1.4977286801918144e-4,4.357175603744882e-5,2.711238546291439e-5,7.079065131532026e-5,46540,7.898221670386118e-5
250,9.120526875967569e-5,3.2629405375255284e-5,1.9481623852648772e-5,5.064780211237113e-5,46540,4.055746664730456e-5
500,9.825742942276589e-5,2.324790296874456e-5,1.2751358096766538e-5,3.8473225914431655e-5,46540,5.978420350833424e-5
1000,1.1884548597192495e-4,2.686616876658998e-5,1.357010932353302e-5,4.398722114269703e-5,46540,7.485826482922793e-5
0,6.259257597335652e-5,4.363074268965242e-5,2.0451605792729068e-5,7.804701564694582e-5,31340,0
250,4.127228715880914e-5,3.099169795540388e-5,1.5157334621151933e-5,5.240076798079372e-5,31340,0
500,2.5488239364458143e-5,1.6927011976310625e-5,6.038378046106005e-6,2.7620057580569727e-5,31340,0
1000,4.2401419811513057e-5,2.135372023323834e-5,9.02985736522707e-6,4.3293559290407444e-5,31340,0
0,5.4922458258115056e-5,7.867263034143307e-5,3.325415077510144e-5,1.5928172195788217e-4,47380,0
250,4.677798927682308e-5,5.668231234396613e-5,2.4499864383440672e-5,1.0455763247745452e-4,47380,0
500,3.543564520238359e-5,3.517575396173948e-5,1.663746041107727e-5,6.393004137805106e-5,47380,0
1000,2.687349121906991e-5,3.8141742490237675e-5,1.279214938191957e-5,7.002815252592872e-5,47380,0
0,8.589726842511228e-5,7.416576483596525e-5,7.746438199174924e-11,5.677518511450207e-4,13140,0
250,9.057859861133316e-5,2.300477683053433e-5,0,1.1935395848068811e-4,13140,0
500,9.121766352153507e-5,1.5771929461231734e-5,0,5.437068802987054e-5,13140,3.684697549166453e-5
1000,4.1267369262981645e-5,1.0041836314751417e-5,0,3.198209665664076e-5,13140,9.285272606340886e-6
0,1.516190235029262e-4,8.723524078916114e-5,3.925650016973748e-5,1.6770116529517105e-4,45900,0
250,1.4631792352246372e-4,5.871361929854686e-5,3.2062005621227305e-5,9.770953892171274e-5,45900,4.860838460075098e-5
500,1.6272189397108984e-4,3.1118272911146416e-5,1.8292770191387538e-5,4.5062272060230575e-5,45900,1.1765962191085926e-4
1000,1.2029705275901938e-4,4.7472631623314004e-5,2.2337272569157565e-5,8.739588224702642e-5,45900,3.2901170511992955e-5
